,score_x,qubits_4_layer_1,qubits_4_layer_2,qubits_4_layer_3,qubits_4_layer_4,qubits_4_layer_5,qubits_4_layer_6,qubits_4_layer_7,qubits_4_layer_8,qubits_4_layer_9,qubits_4_layer_10,qubits_4_layer_11,qubits_4_layer_12,qubits_4_layer_13,qubits_4_layer_14,qubits_4_layer_15,qubits_3_layer_1,qubits_3_layer_2,qubits_3_layer_3,qubits_3_layer_4,qubits_3_layer_5,qubits_3_layer_6,qubits_3_layer_7,qubits_3_layer_8,qubits_3_layer_9,qubits_3_layer_10,qubits_3_layer_11,qubits_3_layer_12,qubits_3_layer_13,qubits_3_layer_14,qubits_3_layer_15,qubits_3_layer_16,qubits_3_layer_17,qubits_5_layer_1,qubits_5_layer_2,qubits_5_layer_3,qubits_5_layer_4,qubits_5_layer_5,qubits_5_layer_6,qubits_5_layer_7,qubits_5_layer_8,qubits_5_layer_9
53,0.265,0.7462,0.7222,0.6856,0.6224,0.5747,0.5135,0.4548,0.4093,0.3657,0.3246,0.2906,0.2571,0.2313,0.2053,0.1834,0.4756,0.2951,0.1648,0.0959,0.0509,0.0306,0.0179,0.0121,0.007,0.0046,0.0034,0.0014,0.0015,0.0012,0.0006,0.0007,0.0004,0.9529,0.9505,0.958,0.9581,0.9522000000000002,0.9442000000000004,0.9322,0.9136000000000002,0.8925999999999998
54,0.27,0.7522,0.7323,0.6959,0.6328,0.5869,0.5246,0.4672,0.4205,0.376,0.3335,0.298,0.2656,0.2379,0.2121,0.1906,0.4906,0.3055,0.1726,0.1,0.055,0.0326,0.0188,0.0129,0.0078,0.0049,0.0036,0.0016,0.0015,0.0012,0.0008,0.0008,0.0004,0.9534,0.9524,0.9604,0.9613,0.9571000000000002,0.9499000000000004,0.9383,0.9211,0.9001999999999999
55,0.275,0.7601,0.7388,0.7064,0.6449,0.5977,0.5364,0.4816,0.4314,0.3847,0.3437,0.3065,0.2738,0.2467,0.2177,0.197,0.5077,0.3176,0.179,0.1054,0.0579,0.0341,0.0208,0.014,0.0086,0.0054,0.0038,0.0016,0.0016,0.0012,0.0009,0.0009,0.0005,0.9542,0.9539,0.9624,0.964,0.9602000000000002,0.9531000000000004,0.9452000000000002,0.9298000000000002,0.9086999999999998
56,0.28,0.7687,0.7474,0.7177,0.6578,0.6099,0.5492,0.492,0.441,0.396,0.3542,0.3152,0.282,0.2546,0.2247,0.2047,0.5232,0.328,0.1851,0.1098,0.0611,0.0356,0.0224,0.0148,0.0093,0.0056,0.0041,0.0016,0.0017,0.0013,0.0009,0.0009,0.0005,0.9544,0.9549999999999998,0.9636,0.9666,0.9639000000000002,0.9565000000000002,0.9506,0.9359000000000002,0.9169999999999998
57,0.285,0.7767,0.7563,0.7277,0.6689,0.6221,0.5579,0.5026,0.4532,0.4074,0.3658,0.3254,0.29,0.262,0.2323,0.2114,0.5381,0.3392,0.1932,0.1151,0.0647,0.0376,0.0238,0.0159,0.0096,0.0058,0.0042,0.0017,0.0018,0.0014,0.0009,0.0009,0.0005,0.9548,0.9559,0.9652,0.9679,0.9664,0.9606000000000002,0.9552000000000002,0.9432,0.9232999999999998
58,0.29,0.7849,0.7672,0.7369,0.6793,0.6325,0.5691,0.5148,0.4649,0.4178,0.3757,0.3335,0.298,0.2714,0.2398,0.22,0.5546,0.3528,0.2018,0.1204,0.0683,0.0407,0.0257,0.0166,0.0101,0.0065,0.0044,0.0018,0.0019,0.0015,0.0009,0.0009,0.0005,0.9553,0.957,0.9669,0.9694,0.9690000000000002,0.9644000000000004,0.9596,0.9489000000000002,0.9294999999999998
59,0.295,0.7977,0.779,0.7474,0.6915,0.6451,0.5844,0.5279,0.481,0.4313,0.3865,0.344,0.3078,0.2836,0.2501,0.2282,0.5763,0.3693,0.2112,0.1261,0.0734,0.0437,0.027,0.0178,0.0111,0.0069,0.0046,0.0019,0.0021,0.0015,0.001,0.0009,0.0005,0.9561,0.9582999999999998,0.9692,0.9713,0.9726000000000002,0.9682000000000004,0.9644,0.9556000000000002,0.9380999999999998
60,0.3,0.8083,0.7883,0.7575,0.7032,0.6545,0.598,0.5401,0.4919,0.4416,0.3962,0.3515,0.3186,0.291,0.2574,0.2351,0.594,0.3801,0.2206,0.1326,0.0766,0.0459,0.0286,0.0186,0.0118,0.0073,0.0048,0.0019,0.0023,0.0016,0.001,0.0009,0.0005,0.9569,0.9590999999999998,0.9705,0.9731,0.9756000000000002,0.9704000000000004,0.9677,0.9595000000000002,0.9437999999999999
61,0.305,0.8209,0.7953,0.7668,0.7128,0.6644,0.6096,0.551,0.5028,0.4515,0.4074,0.362,0.3289,0.2999,0.2648,0.2412,0.6101,0.392,0.2301,0.1368,0.0805,0.0476,0.0301,0.0196,0.0128,0.0078,0.005,0.0021,0.0024,0.0016,0.001,0.0009,0.0006,0.9575,0.96,0.9712,0.9748,0.9775000000000004,0.9726000000000002,0.9712,0.9640000000000002,0.9490999999999998
62,0.31,0.8309,0.8055,0.775,0.7217,0.6758,0.6215,0.5618,0.5137,0.461,0.4191,0.3712,0.3382,0.3105,0.273,0.2493,0.6298,0.4043,0.2387,0.1423,0.0831,0.0497,0.0328,0.0205,0.0143,0.008,0.0054,0.0023,0.0027,0.0016,0.0011,0.0009,0.0006,0.9584,0.9610999999999998,0.9724,0.9768,0.9789000000000002,0.9756000000000002,0.9737,0.9675,0.9531999999999998
63,0.315,0.8446,0.8162,0.7824,0.7326,0.6868,0.632,0.5733,0.5237,0.4735,0.4318,0.3816,0.3474,0.3188,0.2817,0.2575,0.6475,0.4175,0.2472,0.1487,0.0876,0.0518,0.0345,0.0213,0.015,0.0087,0.0057,0.0027,0.003,0.0018,0.0012,0.0011,0.0006,0.9594,0.9621999999999998,0.9733,0.9786,0.9815000000000004,0.9780000000000002,0.9769,0.9706,0.9574999999999998
64,0.32,0.8585,0.827,0.7907,0.7429,0.6957,0.6426,0.5853,0.5351,0.4869,0.4423,0.3921,0.3573,0.3257,0.2904,0.2653,0.6634,0.4302,0.2572,0.1546,0.0925,0.0543,0.0365,0.0231,0.0162,0.0091,0.0064,0.0028,0.003,0.0021,0.0014,0.0012,0.0007,0.9598,0.9634999999999998,0.9745,0.9798,0.9831000000000004,0.9810000000000002,0.9793,0.9738,0.9604999999999998
65,0.325,0.8705,0.8366,0.7999,0.7522,0.707,0.654,0.5964,0.5463,0.4987,0.4521,0.4023,0.3673,0.3337,0.2992,0.2738,0.6801,0.4444,0.2675,0.161,0.0967,0.0574,0.0381,0.0243,0.0169,0.0096,0.0072,0.003,0.0031,0.0022,0.0015,0.0013,0.0007,0.9604,0.9647999999999998,0.9756,0.9807,0.9850000000000004,0.9832000000000002,0.9817,0.9758,0.9641999999999998
66,0.33,0.8814,0.8443,0.8085,0.764,0.7156,0.6661,0.6078,0.559,0.5089,0.4641,0.4122,0.3785,0.342,0.3083,0.2821,0.6992,0.4569,0.277,0.1675,0.0998,0.0604,0.0403,0.0256,0.0179,0.0099,0.0076,0.0033,0.0034,0.0023,0.0017,0.0013,0.0007,0.9613,0.9657999999999998,0.9764,0.982,0.9863000000000004,0.9848000000000002,0.9837,0.9784000000000002,0.9675999999999998
67,0.335,0.898,0.8553,0.8191,0.7762,0.7274,0.6787,0.6217,0.5731,0.5216,0.4792,0.4256,0.3886,0.3535,0.3185,0.2918,0.7202,0.4725,0.288,0.1773,0.1053,0.0646,0.0439,0.0274,0.0191,0.0105,0.008,0.0036,0.0036,0.0024,0.0019,0.0013,0.0008,0.9615,0.9669999999999996,0.9776,0.9832,0.9874000000000004,0.9866000000000004,0.986,0.9807,0.9720999999999997
68,0.34,0.9093,0.8634,0.8259,0.7844,0.7381,0.6887,0.6323,0.5844,0.5336,0.4891,0.4363,0.3989,0.3641,0.3267,0.2997,0.7376,0.4852,0.2972,0.1841,0.1097,0.0672,0.0463,0.029,0.02,0.0114,0.0081,0.0039,0.0039,0.0024,0.002,0.0014,0.0008,0.962,0.9677999999999998,0.9785,0.984,0.9883000000000004,0.9879000000000002,0.9871,0.9826,0.9746999999999998
69,0.345,0.9203,0.8703,0.8331,0.7934,0.7472,0.697,0.642,0.5943,0.5454,0.5005,0.4466,0.4096,0.3738,0.3348,0.3075,0.7534,0.4966,0.3066,0.1918,0.1144,0.071,0.0488,0.0307,0.0212,0.0118,0.0083,0.0045,0.0043,0.0025,0.0022,0.0014,0.0009,0.9627,0.9687999999999998,0.9797,0.9842,0.9895000000000004,0.9892000000000002,0.9885999999999998,0.9848,0.9770999999999997
70,0.35,0.9308,0.8773,0.8413,0.8041,0.7564,0.7072,0.6522,0.6051,0.5562,0.5128,0.4569,0.4182,0.3858,0.3447,0.3174,0.7676,0.5099,0.3164,0.2007,0.1198,0.0744,0.0514,0.0328,0.0223,0.0127,0.009,0.0046,0.0046,0.0025,0.0024,0.0014,0.0009,0.9632,0.9691999999999996,0.9804,0.9849,0.9903000000000004,0.9899000000000002,0.9894999999999998,0.9872,0.9784999999999997
71,0.355,0.943,0.8841,0.8479,0.8128,0.765,0.7167,0.6628,0.6171,0.5677,0.5242,0.4676,0.4293,0.3971,0.354,0.3264,0.7812,0.5223,0.3274,0.2102,0.1245,0.0777,0.0531,0.0345,0.0231,0.0132,0.0094,0.0052,0.0048,0.0027,0.0025,0.0016,0.001,0.964,0.9700999999999996,0.9813,0.9857,0.9912000000000004,0.9909000000000002,0.9909999999999998,0.9888,0.9806999999999997
72,0.36,0.9524,0.8913,0.856,0.8212,0.7743,0.7261,0.6745,0.6278,0.5778,0.5334,0.4786,0.4394,0.4083,0.3626,0.3367,0.7954,0.5356,0.3376,0.2179,0.1295,0.0813,0.0556,0.0365,0.0246,0.0141,0.0099,0.0055,0.0049,0.0029,0.0027,0.0018,0.0012,0.9645,0.9709999999999998,0.9818,0.9865,0.9914000000000004,0.9914000000000002,0.9917999999999998,0.9904000000000002,0.9832999999999997
73,0.365,0.9622,0.898,0.8628,0.8296,0.7836,0.7364,0.6847,0.6386,0.5882,0.5447,0.4899,0.4504,0.4178,0.3718,0.3473,0.8068,0.5483,0.3483,0.2253,0.1348,0.0843,0.0587,0.0384,0.0259,0.0148,0.0112,0.006,0.0055,0.003,0.0028,0.0019,0.0013,0.9649,0.9719999999999998,0.9825,0.987,0.9918000000000002,0.9925000000000002,0.9922999999999996,0.9912000000000002,0.9852999999999997
74,0.37,0.9711,0.9059,0.87,0.8364,0.7931,0.7453,0.6945,0.6473,0.6005,0.5555,0.5,0.4629,0.4279,0.3838,0.3566,0.8196,0.5613,0.3585,0.2339,0.1415,0.0879,0.061,0.0402,0.0276,0.0157,0.0115,0.0063,0.006,0.0034,0.003,0.0019,0.0013,0.9658,0.9724999999999996,0.9829,0.988,0.9922000000000002,0.9933000000000002,0.9929999999999998,0.9923000000000002,0.9875999999999997
75,0.375,0.9775,0.9113,0.8756,0.8431,0.802,0.7555,0.7042,0.6596,0.6125,0.5684,0.513,0.4733,0.4387,0.3946,0.3658,0.8318,0.5725,0.3699,0.2408,0.1486,0.0936,0.0642,0.0422,0.0287,0.0162,0.0123,0.0068,0.0062,0.0036,0.003,0.002,0.0013,0.9662999999999998,0.9729999999999996,0.9832,0.9886,0.9925000000000002,0.9935000000000002,0.9936999999999998,0.9932000000000002,0.9889999999999997
76,0.38,0.9844,0.9185,0.8833,0.8502,0.8117,0.7679,0.7179,0.6725,0.6255,0.5815,0.525,0.4874,0.4504,0.4076,0.3766,0.844,0.5878,0.384,0.2498,0.1544,0.0992,0.0682,0.0444,0.0309,0.0171,0.0126,0.0071,0.0064,0.0038,0.0032,0.0023,0.0013,0.9667999999999998,0.9741999999999996,0.9839,0.9895,0.9933000000000002,0.9943000000000002,0.9943999999999998,0.9940000000000002,0.9902999999999996
77,0.385,0.9901,0.924,0.8884,0.8562,0.8199,0.7786,0.7283,0.6847,0.6356,0.5932,0.5341,0.4988,0.4601,0.4174,0.3864,0.8525,0.6002,0.3938,0.2585,0.1615,0.103,0.0712,0.0471,0.0323,0.0182,0.0131,0.0077,0.007,0.0039,0.0033,0.0023,0.0014,0.9672999999999996,0.9747999999999996,0.9849,0.9902,0.9935000000000002,0.9951000000000002,0.9948999999999998,0.9955000000000002,0.9911999999999996
78,0.39,0.9934,0.929,0.8948,0.8618,0.8274,0.7865,0.7378,0.6947,0.647,0.6031,0.5442,0.51,0.4701,0.4283,0.3963,0.8606,0.6122,0.4062,0.2668,0.1687,0.108,0.0739,0.05,0.0343,0.0192,0.0137,0.008,0.0072,0.004,0.0035,0.0026,0.0015,0.9679999999999996,0.9756999999999996,0.9856,0.9906,0.9937,0.9956000000000002,0.9954999999999998,0.9962000000000002,0.9924999999999996
79,0.395,0.9958,0.9335,0.9,0.8673,0.8346,0.7947,0.7484,0.7063,0.6571,0.6132,0.5542,0.5201,0.4809,0.4386,0.4066,0.871,0.6218,0.4181,0.2771,0.1762,0.1139,0.0767,0.0524,0.0358,0.0203,0.0148,0.0085,0.0076,0.0041,0.0035,0.0029,0.0015,0.9686999999999998,0.9761999999999996,0.9857,0.9907,0.9943000000000002,0.9959,0.9961,0.9970000000000002,0.9935999999999996
80,0.4,0.9978,0.9371,0.9055,0.8739,0.8433,0.8039,0.7566,0.7173,0.6673,0.6253,0.5671,0.5301,0.4899,0.4487,0.4178,0.878,0.6325,0.428,0.2863,0.1817,0.1184,0.0803,0.0549,0.0375,0.0213,0.0157,0.0095,0.0078,0.0044,0.0037,0.0035,0.0016,0.9689999999999998,0.9768999999999995,0.9864,0.991,0.9944000000000002,0.9963,0.9962,0.9971000000000002,0.9938999999999996
81,0.405,0.9986,0.9408,0.9093,0.8802,0.8503,0.812,0.7672,0.7271,0.6788,0.6364,0.5775,0.5413,0.5008,0.4582,0.4285,0.8835,0.6443,0.4419,0.2967,0.1883,0.123,0.0849,0.057,0.04,0.0226,0.0164,0.0099,0.0082,0.0047,0.004,0.004,0.002,0.9692999999999996,0.9779999999999996,0.9871,0.9912,0.9946000000000002,0.9963,0.9965999999999998,0.9977000000000004,0.9947999999999996
82,0.41,0.9994,0.9444,0.9139,0.887,0.8575,0.8207,0.7747,0.7369,0.689,0.6469,0.5898,0.5517,0.5118,0.4686,0.4402,0.8896,0.6559,0.4541,0.3079,0.1972,0.128,0.0882,0.0602,0.0423,0.0238,0.0177,0.0105,0.0085,0.0054,0.0045,0.0042,0.002,0.9699999999999998,0.9787999999999996,0.9877,0.9915,0.995,0.9966,0.9973999999999998,0.9978000000000002,0.9956999999999996
83,0.415,0.9997,0.9473,0.9178,0.8927,0.8648,0.8283,0.785,0.748,0.6987,0.6564,0.6021,0.5625,0.5232,0.4807,0.4506,0.8957,0.6677,0.4651,0.3186,0.2053,0.1331,0.0916,0.0633,0.0448,0.0257,0.0188,0.011,0.009,0.0062,0.0046,0.0043,0.0021,0.9704999999999996,0.9798999999999995,0.9882,0.9919,0.9952,0.9971,0.9975999999999998,0.9980000000000002,0.9966999999999996
84,0.42,0.9999,0.9515,0.923,0.8993,0.872,0.8366,0.795,0.7609,0.7111,0.6705,0.6129,0.5766,0.5359,0.4924,0.4637,0.9016,0.6807,0.4803,0.3327,0.2152,0.1403,0.0961,0.0671,0.0472,0.0276,0.0197,0.0121,0.0095,0.0067,0.0046,0.0047,0.0023,0.9716999999999996,0.9807999999999996,0.9888,0.992,0.9955,0.9973,0.9980999999999998,0.9982000000000002,0.9971999999999995
85,0.425,1.0,0.955,0.9259,0.9049,0.879,0.8438,0.8016,0.7687,0.7233,0.6784,0.6241,0.5862,0.5458,0.5019,0.4738,0.9051,0.6925,0.4908,0.3418,0.2218,0.1463,0.1013,0.07,0.0496,0.029,0.021,0.0128,0.0102,0.0072,0.0048,0.0049,0.0027,0.9726999999999996,0.9817999999999996,0.9892,0.9926,0.9955,0.9976,0.9982999999999996,0.9986000000000002,0.9976999999999995
86,0.43,1.0,0.9574,0.9295,0.9094,0.8847,0.8515,0.8104,0.7776,0.734,0.6875,0.6354,0.5969,0.5556,0.5121,0.4832,0.9086,0.703,0.504,0.3525,0.2282,0.1523,0.1049,0.0731,0.052,0.0308,0.0218,0.0137,0.0107,0.0076,0.0052,0.0053,0.003,0.9734999999999996,0.9824999999999996,0.9897,0.9927,0.9958,0.9977,0.9984999999999996,0.9987,0.9980999999999994
87,0.435,1.0,0.9599,0.9338,0.9138,0.8909,0.8581,0.8195,0.7865,0.742,0.6978,0.6472,0.6077,0.5655,0.5237,0.4931,0.9119,0.7136,0.5148,0.3626,0.2368,0.1582,0.1103,0.0757,0.0546,0.0331,0.023,0.0142,0.0116,0.008,0.0055,0.0058,0.0032,0.9742999999999996,0.9832999999999996,0.9901,0.993,0.9958,0.998,0.9985999999999996,0.9987,0.9984999999999994
88,0.44,1.0,0.9633,0.9378,0.9192,0.896,0.8655,0.8271,0.7967,0.7515,0.7097,0.6577,0.6199,0.5768,0.5349,0.5033,0.9155,0.724,0.5276,0.3746,0.246,0.1647,0.1168,0.0793,0.0566,0.0346,0.0243,0.0151,0.0123,0.0088,0.0059,0.006,0.0033,0.9750999999999996,0.9843999999999996,0.9907,0.9932999999999998,0.9961,0.9983,0.9987999999999996,0.9989,0.9985999999999994
89,0.445,1.0,0.965,0.9406,0.9239,0.9009,0.8716,0.8326,0.8053,0.7607,0.7203,0.6684,0.6313,0.5896,0.5475,0.5137,0.9196,0.7339,0.54,0.3842,0.2553,0.1714,0.1224,0.0831,0.059,0.0368,0.0255,0.0159,0.0129,0.0095,0.0065,0.0061,0.0038,0.9764999999999996,0.9849999999999998,0.9913,0.9936999999999998,0.9964,0.9984999999999998,0.9989999999999996,0.9989,0.9986999999999994
90,0.45,1.0,0.9668,0.9453,0.9284,0.9052,0.8787,0.8401,0.8141,0.7694,0.7318,0.6788,0.6424,0.6009,0.5587,0.5255,0.9232,0.7431,0.5507,0.3942,0.2667,0.1784,0.1276,0.0863,0.0628,0.0387,0.0271,0.0173,0.0137,0.0102,0.007,0.0062,0.0042,0.9777999999999996,0.9855999999999998,0.992,0.9940999999999998,0.9966,0.9986999999999998,0.9989999999999996,0.999,0.9988999999999993
91,0.455,1.0,0.9694,0.9473,0.9314,0.9096,0.8864,0.8484,0.8225,0.7778,0.7403,0.6908,0.6549,0.6116,0.5684,0.539,0.9267,0.7533,0.5625,0.406,0.2747,0.1869,0.1326,0.0918,0.0659,0.0406,0.0293,0.0189,0.015,0.011,0.0074,0.0069,0.0044,0.9783999999999996,0.9857999999999998,0.9926,0.9944999999999996,0.9966,0.9986999999999998,0.9989999999999996,0.9991,0.9989999999999993
92,0.46,1.0,0.9723,0.9505,0.9362,0.9149,0.8952,0.8574,0.8308,0.7888,0.7518,0.7025,0.6666,0.6242,0.5817,0.5507,0.9318,0.764,0.5766,0.4182,0.2862,0.1965,0.1385,0.0967,0.0705,0.043,0.0308,0.02,0.016,0.0115,0.0081,0.007,0.0047,0.9792999999999996,0.9863999999999998,0.9927,0.9950999999999998,0.9967,0.9988999999999998,0.9990999999999997,0.9991,0.9992999999999993
93,0.465,1.0,0.9746,0.9534,0.9396,0.9189,0.9004,0.8643,0.8393,0.7979,0.7623,0.7153,0.6778,0.6345,0.5919,0.5616,0.9356,0.7729,0.5875,0.4285,0.2943,0.2042,0.1437,0.1022,0.0729,0.0452,0.0321,0.0216,0.0166,0.0125,0.0085,0.0072,0.005,0.9803999999999996,0.9871,0.993,0.9953999999999996,0.9968,0.9988999999999998,0.9991999999999996,0.9992,0.9993999999999993
94,0.47,1.0,0.9754,0.956,0.9436,0.9236,0.9061,0.8721,0.8471,0.8064,0.7719,0.7254,0.6884,0.6458,0.6035,0.5724,0.9389,0.782,0.5985,0.4388,0.3037,0.2134,0.1494,0.1063,0.0771,0.0475,0.0348,0.0224,0.0176,0.0133,0.0089,0.0075,0.0053,0.9809999999999998,0.9879,0.9932,0.9959999999999998,0.9971,0.9989999999999998,0.9991999999999996,0.9992,0.9994999999999993
95,0.475,1.0,0.977,0.9591,0.9463,0.927,0.9106,0.8776,0.8556,0.8151,0.7799,0.7373,0.6989,0.6575,0.6144,0.5826,0.9422,0.7903,0.6088,0.448,0.3138,0.2198,0.1567,0.1102,0.081,0.0503,0.0368,0.0241,0.0187,0.014,0.0095,0.0081,0.0056,0.9824999999999996,0.989,0.9934,0.9962999999999996,0.9973,0.9990999999999998,0.9991999999999996,0.9994,0.9996999999999993
96,0.48,1.0,0.9792,0.9612,0.9489,0.9315,0.9143,0.8844,0.8632,0.8217,0.7885,0.747,0.7078,0.6686,0.6243,0.5938,0.9451,0.7985,0.618,0.4592,0.3219,0.228,0.1631,0.115,0.0855,0.0533,0.0382,0.0254,0.0198,0.0149,0.0105,0.0086,0.0062,0.9838999999999996,0.9897,0.9936,0.9965999999999996,0.9973999999999998,0.9992999999999996,0.9991999999999996,0.9997,0.9996999999999993
97,0.485,1.0,0.981,0.9644,0.9517,0.9357,0.9173,0.8895,0.8695,0.831,0.7972,0.756,0.719,0.6813,0.6366,0.6042,0.9476,0.8065,0.6287,0.4705,0.3305,0.236,0.1689,0.1192,0.091,0.055,0.0408,0.0269,0.0209,0.0156,0.011,0.0092,0.0067,0.9852999999999996,0.9905,0.9939,0.9966999999999996,0.9976999999999998,0.9992999999999996,0.9993999999999996,0.9998,0.9996999999999993
98,0.49,1.0,0.9826,0.9665,0.9551,0.939,0.9215,0.8949,0.8761,0.8385,0.806,0.7655,0.7301,0.6933,0.6482,0.6145,0.9512,0.8157,0.6384,0.4815,0.3414,0.2445,0.1763,0.1244,0.0946,0.0588,0.0434,0.0288,0.0223,0.017,0.0117,0.0098,0.0068,0.9862999999999996,0.9912,0.9944,0.9969999999999996,0.9976999999999998,0.9992999999999996,0.9993999999999996,0.9998,0.9996999999999993
99,0.495,1.0,0.9837,0.968,0.9589,0.9429,0.9281,0.8997,0.8824,0.8449,0.8129,0.7754,0.7393,0.704,0.6589,0.6253,0.9548,0.8225,0.6516,0.4928,0.3526,0.2536,0.1832,0.13,0.0991,0.0623,0.0455,0.0303,0.0237,0.0179,0.0126,0.0109,0.0075,0.9880999999999996,0.9918,0.9948,0.9972999999999996,0.9980999999999998,0.9992999999999996,0.9994999999999996,0.9999,0.9997999999999992
100,0.5,1.0,0.985,0.9699,0.9618,0.9463,0.9315,0.9045,0.8888,0.8526,0.8222,0.7847,0.7496,0.7146,0.6692,0.6364,0.9578,0.8299,0.6632,0.5015,0.3629,0.2642,0.1887,0.136,0.1041,0.0663,0.0474,0.0318,0.0251,0.0186,0.0133,0.0112,0.0077,0.9897999999999996,0.9922,0.9951,0.9972999999999996,0.9983999999999996,0.9993999999999996,0.9994999999999996,0.9999,0.9998999999999992
101,0.505,1.0,0.9864,0.9721,0.9646,0.9503,0.9361,0.9103,0.8963,0.8615,0.8319,0.7967,0.7636,0.7274,0.6825,0.6511,0.9621,0.8378,0.6751,0.514,0.3754,0.2762,0.1984,0.1441,0.1109,0.0697,0.0501,0.0339,0.0266,0.0195,0.0141,0.0115,0.0084,0.9914999999999996,0.9926,0.9955999999999998,0.9974999999999996,0.9985999999999996,0.9993999999999996,0.9996999999999996,0.9999,0.9998999999999992
102,0.51,1.0,0.9874,0.9738,0.9667,0.9533,0.94,0.9163,0.902,0.8679,0.8406,0.8063,0.7732,0.7384,0.6933,0.6632,0.9654,0.8451,0.685,0.5241,0.3854,0.2829,0.2061,0.1489,0.1143,0.073,0.0521,0.0364,0.0283,0.0207,0.0153,0.0124,0.0091,0.9930999999999998,0.9931,0.9959999999999998,0.9976999999999996,0.9985999999999996,0.9993999999999996,0.9996999999999996,0.9999,0.9998999999999992
